"row ID","Mathematik","3","M","BRank_Gesamt","BRank_Arbeitsmarkt","BRank_Bevoelkerung","BRank_Erreichbarkeit","BRank_Sicherheit","BRank_Steuerbelastung","BRank_Versorgung","BRank_Wohnen","Landessprache"
"L-114499-KSSEE_Row39",5.5,4.583333333333333,4.46875,3,1,3,4,1,3,2,4,4.0
"L-114503-KSSEE_Row39",4.5,4.416666666666667,4.266666666666667,3,1,3,4,1,3,2,4,4.0
"L-114508-KSSEE_Row38",4.0,4.75,4.59375,2,1,2,5,1,3,1,3,4.5
"L-114512-KSSEE_Row70",4.0,4.541666666666667,4.625,3,3,3,3,3,3,3,3,4.5
"L-114513-KSSEE_Row67",4.5,4.541666666666667,4.28125,3,3,3,3,3,3,3,3,4.5
"L-114515-KSSEE_Row40",5.5,4.875,4.78125,4,4,2,5,1,3,5,3,4.5
"L-114516-KSSEE_Row39",5.5,4.833333333333333,5.1875,3,1,3,4,1,3,2,4,4.5
"L-114521-KSSEE_Row6",5.0,5.0,4.84375,1,1,1,4,1,2,4,3,5.0
"L-114524-KSSEE_Row67",5.5,5.041666666666667,4.625,3,3,3,3,3,3,3,3,5.0
"L-114528-KSSEE_Row39",6.0,5.25,5.09375,3,1,3,4,1,3,2,4,5.5
"L-114531-KSSEE_Row40",6.0,5.0,4.4,4,4,2,5,1,3,5,3,5.0
"L-114533-KSSEE_Row38",5.0,4.375,4.28125,2,1,2,5,1,3,1,3,3.5
"L-114534-KSSEE_Row43",4.0,4.166666666666667,3.921875,3,3,2,4,1,2,4,4,5.0
"L-114536-KSSEE_Row67",5.0,4.458333333333333,4.8125,3,3,3,3,3,3,3,3,4.0
"L-114539-KSSEE_Row43",5.0,4.791666666666667,4.90625,3,3,2,4,1,2,4,4,4.5
"L-114541-KSSEE_Row39",5.5,5.125,5.40625,3,1,3,4,1,3,2,4,5.0
"L-114543-KSSEE_Row39",4.5,4.541666666666667,4.75,3,1,3,4,1,3,2,4,5.0
"L-114544-KSSEE_Row39",4.0,4.541666666666667,4.433333333333334,3,1,3,4,1,3,2,4,4.0
"L-114548-KSSEE_Row70",4.0,4.75,4.5625,3,3,3,3,3,3,3,3,5.0
"L-114549-KSSEE_Row6",4.5,4.916666666666667,4.78125,1,1,1,4,1,2,4,3,5.5
"L-114551-KSSEE_Row1",4.5,4.625,4.8125,3,3,3,3,3,3,3,3,4.0
"L-114552-KSSEE_Row39",4.0,4.333333333333333,4.25,3,1,3,4,1,3,2,4,4.5
"L-114553-KSSEE_Row40",5.0,4.666666666666667,4.53125,4,4,2,5,1,3,5,3,4.5
"L-114556-KSSEE_Row6",4.0,4.5,4.3125,1,1,1,4,1,2,4,3,4.0
"L-114561-KSSEE_Row70",5.0,4.458333333333333,4.21875,3,3,3,3,3,3,3,3,4.0
"L-114573-KSSEE_Row39",4.0,4.923076923076923,4.875,3,1,3,4,1,3,2,4,5.5
"L-114657-KSSEE_Row40",4.0,4.346153846153846,4.34375,4,4,2,5,1,3,5,3,4.0
"L-114658-KSSEE_Row40",4.5,4.923076923076923,4.6875,4,4,2,5,1,3,5,3,5.5
"L-114661-KSSEE_Row40",3.5,4.615384615384615,4.78125,4,4,2,5,1,3,5,3,4.5
"L-114662-KSSEE_Row40",5.5,5.038461538461538,4.666666666666667,4,4,2,5,1,3,5,3,4.5
"L-114668-KSSEE_Row39",5.5,5.230769230769231,4.9375,3,1,3,4,1,3,2,4,5.5
"L-114669-KSSEE_Row39",5.5,4.846153846153846,4.96875,3,1,3,4,1,3,2,4,5.0
"L-114671-KSSEE_Row39",5.0,4.346153846153846,4.5625,3,1,3,4,1,3,2,4,4.0
"L-114672-KSSEE_Row39",4.0,4.3076923076923075,4.375,3,1,3,4,1,3,2,4,3.5
"L-114673-KSSEE_Row39",4.0,4.3076923076923075,4.375,3,1,3,4,1,3,2,4,3.5
"L-114674-KSSEE_Row39",6.0,5.423076923076923,5.15625,3,1,3,4,1,3,2,4,5.5
"L-114676-KSSEE_Row21",4.5,4.615384615384615,4.59375,3,3,3,3,3,3,3,3,4.0
"L-114678-KSSEE_Row21",4.0,4.346153846153846,4.46875,3,3,3,3,3,3,3,3,3.5
"L-114680-KSSEE_Row21",3.75,4.0576923076923075,4.125,3,3,3,3,3,3,3,3,4.0
"L-114681-KSSEE_Row21",4.0,4.423076923076923,4.53125,3,3,3,3,3,3,3,3,4.0
"L-114683-KSSEE_Row39",5.5,4.846153846153846,5.25,3,1,3,4,1,3,2,4,4.0
"L-114685-KSSEE_Row38",6.0,5.384615384615385,5.4375,2,1,2,5,1,3,1,3,5.5
"L-114686-KSSEE_Row39",4.0,4.038461538461538,4.59375,3,1,3,4,1,3,2,4,3.5
"L-114688-KSSEE_Row38",5.5,5.3076923076923075,5.4375,2,1,2,5,1,3,1,3,5.5
"L-114690-KSSEE_Row38",4.5,4.461538461538462,4.40625,2,1,2,5,1,3,1,3,4.0
"L-114692-KSSEE_Row38",4.0,4.615384615384615,4.46875,2,1,2,5,1,3,1,3,5.0
"L-114694-KSSEE_Row22",5.0,5.3076923076923075,5.3125,2,3,1,4,1,1,5,1,5.5
"L-114695-KSSEE_Row22",5.0,4.730769230769231,4.966666666666667,2,3,1,4,1,1,5,1,4.5
"L-114697-KSSEE_Row22",5.0,4.6923076923076925,4.6875,2,3,1,4,1,1,5,1,4.5
"L-114698-KSSEE_Row22",6.0,5.153846153846154,4.96875,2,3,1,4,1,1,5,1,4.5
"L-114699-KSSEE_Row22",5.0,4.846153846153846,4.96875,2,3,1,4,1,1,5,1,4.5
"L-114700-KSSEE_Row22",5.5,5.153846153846154,5.21875,2,3,1,4,1,1,5,1,5.0
"L-114702-KSSEE_Row22",4.5,4.423076923076923,4.375,2,3,1,4,1,1,5,1,4.5
"L-114704-KSSEE_Row39",5.0,5.038461538461538,4.8125,3,1,3,4,1,3,2,4,5.0
"L-114706-KSSEE_Row19",5.0,5.115384615384615,5.03125,2,2,5,3,1,3,3,4,5.0
"L-114708-KSSEE_Row39",4.0,4.346153846153846,4.53125,3,1,3,4,1,3,2,4,4.0
"L-114710-KSSEE_Row39",5.0,5.0,5.0625,3,1,3,4,1,3,2,4,4.0
"L-114715-KSSEE_Row39",3.5,4.3076923076923075,4.40625,3,1,3,4,1,3,2,4,3.5
"L-114716-KSSEE_Row39",4.5,4.423076923076923,4.78125,3,1,3,4,1,3,2,4,4.5
"L-114718-KSSEE_Row39",4.0,4.423076923076923,4.21875,3,1,3,4,1,3,2,4,4.5
"L-114721-KSSEE_Row38",5.0,5.0,4.90625,2,1,2,5,1,3,1,3,5.0
"L-114723-KSSEE_Row38",3.0,4.1923076923076925,4.15625,2,1,2,5,1,3,1,3,4.0
"L-114725-KSSEE_Row38",4.5,4.8076923076923075,4.5,2,1,2,5,1,3,1,3,4.5
"L-114726-KSSEE_Row38",4.0,5.115384615384615,4.84375,2,1,2,5,1,3,1,3,5.5
"L-114728-KSSEE_Row6",4.0,4.538461538461538,4.8125,1,1,1,4,1,2,4,3,4.5
"L-114730-KSSEE_Row6",4.0,4.538461538461538,4.5,1,1,1,4,1,2,4,3,4.0
"L-114732-KSSEE_Row6",4.5,4.8076923076923075,4.5625,1,1,1,4,1,2,4,3,4.5
"L-114734-KSSEE_Row6",4.0,4.769230769230769,4.46875,1,1,1,4,1,2,4,3,4.5
"L-114738-KSSEE_Row6",4.5,5.0,4.75,1,1,1,4,1,2,4,3,5.0
"L-114739-KSSEE_Row22",4.5,4.961538461538462,4.78125,2,3,1,4,1,1,5,1,5.0
"L-114741-KSSEE_Row39",3.5,4.615384615384615,4.59375,3,1,3,4,1,3,2,4,5.0
"L-114744-KSSEE_Row39",4.0,4.230769230769231,4.3125,3,1,3,4,1,3,2,4,4.0
"L-114746-KSSEE_Row39",4.0,4.423076923076923,4.6875,3,1,3,4,1,3,2,4,3.5
"L-114748-KSSEE_Row39",4.0,4.25,4.5,3,1,3,4,1,3,2,4,3.5
"L-114752-KSSEE_Row39",3.5,4.384615384615385,4.5625,3,1,3,4,1,3,2,4,4.5
"L-114754-KSSEE_Row43",5.5,4.923076923076923,5.0625,3,3,2,4,1,2,4,4,5.0
"L-114758-KSSEE_Row43",4.0,4.538461538461538,4.5625,3,3,2,4,1,2,4,4,4.5
"L-114760-KSSEE_Row43",4.5,4.615384615384615,4.8125,3,3,2,4,1,2,4,4,4.5
"L-114761-KSSEE_Row43",5.5,5.3076923076923075,4.9375,3,3,2,4,1,2,4,4,5.5
"L-114767-KSSEE_Row38",4.5,5.038461538461538,4.4,2,1,2,5,1,3,1,3,5.0
"L-114769-KSSEE_Row38",4.0,4.423076923076923,4.59375,2,1,2,5,1,3,1,3,5.0
"L-114771-KSSEE_Row38",5.5,5.291666666666667,5.166666666666667,2,1,2,5,1,3,1,3,5.0
"L-114772-KSSEE_Row38",4.5,4.846153846153846,4.53125,2,1,2,5,1,3,1,3,4.5
"L-114778-KSSEE_Row70",5.0,5.115384615384615,4.875,3,3,3,3,3,3,3,3,5.0
"L-114866-KSSEE_Row22",3.5,4.5,4.75,2,3,1,4,1,1,5,1,4.0
"L-114901-KSSEE_Row22",3.0,4.384615384615385,4.328125,2,3,1,4,1,1,5,1,4.5
"L-114903-KSSEE_Row22",6.0,5.346153846153846,5.125,2,3,1,4,1,1,5,1,5.5
"L-114906-KSSEE_Row43",5.5,5.153846153846154,5.1875,3,3,2,4,1,2,4,4,5.5
"L-114908-KSSEE_Row70",3.0,4.269230769230769,4.2,3,3,3,3,3,3,3,3,4.0
"L-114912-KSSEE_Row38",4.75,4.115384615384615,4.28125,2,1,2,5,1,3,1,3,3.75
"L-114914-KSSEE_Row38",3.5,4.5,4.28125,2,1,2,5,1,3,1,3,4.0
"L-114916-KSSEE_Row70",5.0,4.346153846153846,4.875,3,3,3,3,3,3,3,3,4.5
"L-114918-KSSEE_Row67",5.5,4.461538461538462,4.625,3,3,3,3,3,3,3,3,3.5
"L-114921-KSSEE_Row39",3.5,4.461538461538462,4.78125,3,1,3,4,1,3,2,4,5.0
"L-114924-KSSEE_Row39",5.0,4.5,4.40625,3,1,3,4,1,3,2,4,4.5
"L-114926-KSSEE_Row1",5.0,4.6923076923076925,4.59375,3,3,3,3,3,3,3,3,4.5
"L-114931-KSSEE_Row38",3.25,3.980769230769231,4.40625,2,1,2,5,1,3,1,3,3.5
"L-114933-KSSEE_Row67",5.0,5.384615384615385,4.75,3,3,3,3,3,3,3,3,5.5
"L-114936-KSSEE_Row22",5.0,4.884615384615385,5.21875,2,3,1,4,1,1,5,1,4.0
"L-114939-KSSEE_Row39",5.0,5.038461538461538,4.78125,3,1,3,4,1,3,2,4,4.5
"L-114945-KSSEE_Row39",6.0,5.458333333333333,5.2,3,1,3,4,1,3,2,4,5.5
"L-114948-KSSEE_Row39",3.5,4.230769230769231,4.28125,3,1,3,4,1,3,2,4,4.0
"L-114953-KSSEE_Row22",4.0,4.8076923076923075,4.8125,2,3,1,4,1,1,5,1,5.5
"L-114956-KSSEE_Row40",4.0,4.346153846153846,4.5,4,4,2,5,1,3,5,3,3.5
"L-114958-KSSEE_Row39",5.5,4.923076923076923,5.0,3,1,3,4,1,3,2,4,4.5
"L-114960-KSSEE_Row67",5.5,4.884615384615385,5.0625,3,3,3,3,3,3,3,3,5.0
"L-114962-KSSEE_Row39",5.0,4.846153846153846,4.78125,3,1,3,4,1,3,2,4,5.0
"L-114966-KSSEE_Row21",5.5,4.538461538461538,4.5625,3,3,3,3,3,3,3,3,4.5
"L-114967-KSSEE_Row22",5.0,5.076923076923077,4.78125,2,3,1,4,1,1,5,1,5.5
"L-114969-KSSEE_Row6",5.5,4.884615384615385,5.0,1,1,1,4,1,2,4,3,4.0
"L-114972-KSSEE_Row6",4.5,4.653846153846154,4.46875,1,1,1,4,1,2,4,3,4.0
"L-114974-KSSEE_Row22",4.5,4.384615384615385,4.5625,2,3,1,4,1,1,5,1,3.5
"L-114976-KSSEE_Row43",4.5,4.615384615384615,4.28125,3,3,2,4,1,2,4,4,4.0
"L-114978-KSSEE_Row43",4.5,4.6923076923076925,4.6875,3,3,2,4,1,2,4,4,4.0
"L-114980-KSSEE_Row38",4.5,4.538461538461538,4.34375,2,1,2,5,1,3,1,3,4.0
"L-114982-KSSEE_Row22",5.0,4.846153846153846,4.59375,2,3,1,4,1,1,5,1,5.0
"L-114986-KSSEE_Row21",4.0,4.423076923076923,4.34375,3,3,3,3,3,3,3,3,4.0
"L-114987-KSSEE_Row40",5.5,5.269230769230769,5.15625,4,4,2,5,1,3,5,3,5.5
"L-114988-KSSEE_Row6",5.0,4.769230769230769,4.6875,1,1,1,4,1,2,4,3,4.0
"L-114990-KSSEE_Row39",5.0,5.346153846153846,5.15625,3,1,3,4,1,3,2,4,5.5
"L-114992-KSSEE_Row39",5.5,5.115384615384615,4.875,3,1,3,4,1,3,2,4,5.0
"L-114994-KSSEE_Row65",5.5,4.846153846153846,4.625,2,1,2,3,1,2,3,2,4.5
"L-114997-KSSEE_Row39",4.5,4.653846153846154,4.3,3,1,3,4,1,3,2,4,4.5
"L-115027-KSSEE_Row38",4.5,4.846153846153846,5.15625,2,1,2,5,1,3,1,3,5.0
"L-115029-KSSEE_Row39",3.5,4.1923076923076925,4.53125,3,1,3,4,1,3,2,4,4.5
"L-115033-KSSEE_Row38",3.5,4.576923076923077,4.9375,2,1,2,5,1,3,1,3,4.5
"L-115034-KSSEE_Row43",4.0,4.576923076923077,4.34375,3,3,2,4,1,2,4,4,4.5
"L-115035-KSSEE_Row39",5.0,4.8076923076923075,5.125,3,1,3,4,1,3,2,4,5.0
"L-115037-KSSEE_Row39",4.5,4.5,4.40625,3,1,3,4,1,3,2,4,4.0
"L-115038-KSSEE_Row39",5.5,4.884615384615385,4.65625,3,1,3,4,1,3,2,4,5.0
"L-115040-KSSEE_Row38",5.5,4.615384615384615,4.40625,2,1,2,5,1,3,1,3,4.0
"L-115042-KSSEE_Row22",3.5,4.153846153846154,4.09375,2,3,1,4,1,1,5,1,5.0
"L-115044-KSSEE_Row22",3.0,4.615384615384615,4.1875,2,3,1,4,1,1,5,1,4.5
"L-115046-KSSEE_Row1",3.0,4.3076923076923075,4.71875,3,3,3,3,3,3,3,3,4.0
"L-115048-KSSEE_Row67",5.0,4.769230769230769,5.233333333333333,3,3,3,3,3,3,3,3,5.0
"L-115049-KSSEE_Row5",4.0,4.923076923076923,4.96875,3,3,3,3,3,3,3,3,5.0
"L-115052-KSSEE_Row5",4.5,4.653846153846154,4.34375,3,3,3,3,3,3,3,3,4.5
"L-115054-KSSEE_Row39",3.5,4.3076923076923075,4.15625,3,1,3,4,1,3,2,4,4.5
"L-115056-KSSEE_Row38",2.5,4.461538461538462,4.875,2,1,2,5,1,3,1,3,4.0
"L-115058-KSSEE_Row38",4.5,4.730769230769231,4.96875,2,1,2,5,1,3,1,3,4.5
"L-115062-KSSEE_Row39",4.5,4.8076923076923075,4.75,3,1,3,4,1,3,2,4,4.5
"L-115063-KSSEE_Row22",3.5,4.769230769230769,4.6875,2,3,1,4,1,1,5,1,5.0
"L-115065-KSSEE_Row38",5.0,5.153846153846154,4.96875,2,1,2,5,1,3,1,3,5.0
"L-115069-KSSEE_Row22",4.5,4.846153846153846,4.3125,2,3,1,4,1,1,5,1,4.5
"L-115071-KSSEE_Row39",4.5,4.8076923076923075,5.0625,3,1,3,4,1,3,2,4,4.0
"L-115080-KSSEE_Row40",4.5,4.538461538461538,4.46875,4,4,2,5,1,3,5,3,4.0
"L-115082-KSSEE_Row40",5.5,5.3076923076923075,5.25,4,4,2,5,1,3,5,3,5.0
"L-115084-KSSEE_Row38",5.0,5.423076923076923,5.5625,2,1,2,5,1,3,1,3,5.5
"L-115088-KSSEE_Row38",5.5,4.730769230769231,4.46875,2,1,2,5,1,3,1,3,4.5
"L-115091-KSSEE_Row39",4.5,4.923076923076923,4.75,3,1,3,4,1,3,2,4,5.0
"L-115092-KSSEE_Row22",3.5,4.1923076923076925,4.5,2,3,1,4,1,1,5,1,3.5
"L-115095-KSSEE_Row40",4.0,4.384615384615385,4.4375,4,4,2,5,1,3,5,3,4.0
"L-115097-KSSEE_Row39",5.0,5.1923076923076925,5.066666666666666,3,1,3,4,1,3,2,4,5.0
"L-115101-KSSEE_Row40",5.0,4.846153846153846,4.90625,4,4,2,5,1,3,5,3,5.5
"L-115103-KSSEE_Row40",4.0,4.730769230769231,4.6875,4,4,2,5,1,3,5,3,4.5
"L-115105-KSSEE_Row40",4.0,4.730769230769231,4.433333333333334,4,4,2,5,1,3,5,3,5.0
"L-115106-KSSEE_Row39",4.0,4.461538461538462,4.6875,3,1,3,4,1,3,2,4,4.0
"L-115107-KSSEE_Row6",4.5,4.846153846153846,5.28125,1,1,1,4,1,2,4,3,5.0
"L-115108-KSSEE_Row70",4.5,4.461538461538462,4.8125,3,3,3,3,3,3,3,3,3.5
"L-115110-KSSEE_Row40",3.5,4.576923076923077,4.53125,4,4,2,5,1,3,5,3,5.0
"L-115112-KSSEE_Row70",3.5,4.5,4.34375,3,3,3,3,3,3,3,3,4.5
"L-115118-KSSEE_Row40",5.0,4.961538461538462,4.875,4,4,2,5,1,3,5,3,4.5
"L-115120-KSSEE_Row40",3.5,4.153846153846154,4.84375,4,4,2,5,1,3,5,3,3.5
"L-115122-KSSEE_Row6",4.0,4.576923076923077,4.34375,1,1,1,4,1,2,4,3,5.0
"L-115124-KSSEE_Row67",3.5,4.269230769230769,4.625,3,3,3,3,3,3,3,3,3.5
"L-115126-KSSEE_Row70",5.0,5.269230769230769,5.166666666666667,3,3,3,3,3,3,3,3,5.5
"L-115127-KSSEE_Row38",5.0,4.8076923076923075,5.0,2,1,2,5,1,3,1,3,5.0
"L-115157-KSSEE_Row39",3.5,4.961538461538462,4.75,3,1,3,4,1,3,2,4,4.5
"L-115159-KSSEE_Row43",4.0,4.961538461538462,4.78125,3,3,2,4,1,2,4,4,4.5
"L-115160-KSSEE_Row6",4.0,4.576923076923077,4.4375,1,1,1,4,1,2,4,3,5.0
"L-115163-KSSEE_Row39",5.5,5.230769230769231,5.125,3,1,3,4,1,3,2,4,5.0
"L-115165-KSSEE_Row6",4.0,4.5,4.59375,1,1,1,4,1,2,4,3,4.0
"L-115168-KSSEE_Row39",5.0,4.923076923076923,4.9375,3,1,3,4,1,3,2,4,4.5
"L-115170-KSSEE_Row6",4.5,4.923076923076923,4.875,1,1,1,4,1,2,4,3,5.0
"L-115175-KSSEE_Row6",5.0,5.153846153846154,4.96875,1,1,1,4,1,2,4,3,5.0
"L-115176-KSSEE_Row39",5.5,5.346153846153846,5.34375,3,1,3,4,1,3,2,4,5.0
"L-115182-KSSEE_Row39",5.0,4.961538461538462,4.6875,3,1,3,4,1,3,2,4,4.5
"L-115184-KSSEE_Row38",3.5,4.346153846153846,4.34375,2,1,2,5,1,3,1,3,4.0
"L-115186-KSSEE_Row38",4.0,4.423076923076923,4.65625,2,1,2,5,1,3,1,3,4.5
"L-115191-KSSEE_Row22",4.0,4.8076923076923075,4.46875,2,3,1,4,1,1,5,1,4.5
"L-115194-KSSEE_Row38",5.5,5.461538461538462,5.375,2,1,2,5,1,3,1,3,5.0
"L-115196-KSSEE_Row40",4.0,4.769230769230769,4.28125,4,4,2,5,1,3,5,3,4.5
"L-115197-KSSEE_Row67",5.0,4.769230769230769,5.0,3,3,3,3,3,3,3,3,5.0
"L-115200-KSSEE_Row39",4.5,5.269230769230769,5.125,3,1,3,4,1,3,2,4,5.5
"L-115205-KSSEE_Row38",3.5,4.230769230769231,4.5625,2,1,2,5,1,3,1,3,4.0
"L-115209-KSSEE_Row6",4.5,4.884615384615385,4.78125,1,1,1,4,1,2,4,3,5.0
"L-115211-KSSEE_Row40",4.0,4.230769230769231,4.5,4,4,2,5,1,3,5,3,4.0
"L-115214-KSSEE_Row38",6.0,5.0,5.0,2,1,2,5,1,3,1,3,4.5
"L-115215-KSSEE_Row39",6.0,4.821428571428571,4.25,3,1,3,4,1,3,2,4,5.0
"L-115220-KSSEE_Row39",4.5,4.615384615384615,4.25,3,1,3,4,1,3,2,4,4.0
"L-115222-KSSEE_Row38",5.0,5.0,5.40625,2,1,2,5,1,3,1,3,4.5
"L-115225-KSSEE_Row19",3.0,4.3076923076923075,4.28125,2,2,5,3,1,3,3,4,4.0
"L-115228-KSSEE_Row7",4.5,4.214285714285714,4.0,3,4,2,5,1,3,3,2,4.0
"L-115231-KSSEE_Row22",5.0,4.821428571428571,4.71875,2,3,1,4,1,1,5,1,5.0
"L-115234-KSSEE_Row39",4.5,4.821428571428571,4.59375,3,1,3,4,1,3,2,4,5.0
"L-115236-KSSEE_Row40",6.0,4.464285714285714,4.28125,4,4,2,5,1,3,5,3,4.5
"L-115237-KSSEE_Row38",5.0,4.857142857142857,5.03125,2,1,2,5,1,3,1,3,5.5
"L-115240-KSSEE_Row40",4.5,4.607142857142857,4.5625,4,4,2,5,1,3,5,3,4.5
"L-115243-KSSEE_Row40",5.0,4.821428571428571,4.59375,4,4,2,5,1,3,5,3,5.0
"L-115245-KSSEE_Row38",4.0,4.857142857142857,4.8125,2,1,2,5,1,3,1,3,4.5
"L-115247-KSSEE_Row22",4.0,4.392857142857143,4.46875,2,3,1,4,1,1,5,1,4.0
"L-115248-KSSEE_Row39",5.0,5.142857142857143,5.34375,3,1,3,4,1,3,2,4,5.0
"L-115250-KSSEE_Row38",4.5,4.964285714285714,5.0,2,1,2,5,1,3,1,3,5.0
"L-115252-KSSEE_Row38",3.5,4.3076923076923075,4.34375,2,1,2,5,1,3,1,3,4.0
"L-115255-KSSEE_Row22",5.0,4.730769230769231,4.71875,2,3,1,4,1,1,5,1,5.0
"L-115256-KSSEE_Row38",4.5,4.730769230769231,4.8125,2,1,2,5,1,3,1,3,5.0
"L-115258-KSSEE_Row38",3.5,4.153846153846154,4.03125,2,1,2,5,1,3,1,3,4.0
"L-115260-KSSEE_Row38",6.0,5.576923076923077,5.625,2,1,2,5,1,3,1,3,6.0
"L-115261-KSSEE_Row1",3.5,4.384615384615385,4.65625,3,3,3,3,3,3,3,3,4.0
"L-115263-KSSEE_Row67",3.5,4.961538461538462,4.9375,3,3,3,3,3,3,3,3,5.0
"L-115265-KSSEE_Row39",5.0,5.346153846153846,5.28125,3,1,3,4,1,3,2,4,5.5
"L-115267-KSSEE_Row67",3.5,4.653846153846154,4.53125,3,3,3,3,3,3,3,3,4.5
"L-115269-KSSEE_Row38",5.5,4.269230769230769,4.5,2,1,2,5,1,3,1,3,4.0
"L-115272-KSSEE_Row39",4.5,4.6923076923076925,4.625,3,1,3,4,1,3,2,4,4.5
"L-115276-KSSEE_Row39",4.75,4.634615384615385,4.71875,3,1,3,4,1,3,2,4,3.75
"L-115279-KSSEE_Row43",4.5,4.607142857142857,4.46875,3,3,2,4,1,2,4,4,4.5
"L-115283-KSSEE_Row39",3.5,4.846153846153846,4.375,3,1,3,4,1,3,2,4,5.5
"L-115287-KSSEE_Row39",4.0,4.269230769230769,4.15625,3,1,3,4,1,3,2,4,3.5
"L-115289-KSSEE_Row43",6.0,4.538461538461538,4.4375,3,3,2,4,1,2,4,4,4.5
"L-115292-KSSEE_Row1",4.0,4.678571428571429,4.375,3,3,3,3,3,3,3,3,4.0
"L-115295-KSSEE_Row1",5.0,5.115384615384615,5.09375,3,3,3,3,3,3,3,3,5.0
